model,fold,station,n_test_rows,nRMSE,MAE,MBE
time_solar_only,1,Wong_Check_She_Research_Centre,17456,0.1651348346471114,0.12045717241301229,0.000759356680397518
time_solar_only,3,Zone_A1,17435,0.15177031534773386,0.10466588984697994,0.02905152974832169
time_solar_only,5,Zone_A2,17014,0.17934511355440205,0.1300402377862147,0.05689130817013499
time_solar_only,1,Zone_A4,17459,0.1544172453301181,0.10624124834468769,0.033616271186742694
time_solar_only,4,Zone_A5,17468,0.16179142046474732,0.11150385411280746,0.014977763413217727
time_solar_only,3,Zone_A6,17459,0.1685911310154295,0.12145301844395529,-0.004964702741101315
time_solar_only,2,Zone_A7,16124,0.16220092178306952,0.11360067650077466,0.011470408283302317
time_solar_only,4,Zone_D,17439,0.16057567771956005,0.11225170275309945,0.010118312845831156
time_solar_only,4,Zone_J1,16233,0.17840165682232018,0.12972047132590686,-0.01704593202571289
time_solar_only,1,Zone_J2,17449,0.1691766394248039,0.12067922015744108,0.07699294425874464
time_solar_only,4,Zone_L2,17300,0.15282378143422728,0.10716678042402734,0.028812700186913915
model_a_weather,3,Indoor_Sport_Center,17465,0.1270434625751921,0.09111750195472229,0.05660609383518624
model_a_weather,3,LSK_North,17465,0.11189145338322609,0.0821009643244901,0.03988295197868466
model_a_weather,4,LSK_South,15101,0.11101066271227349,0.08096235569433825,0.02953894201342133
model_a_weather,4,Library,16495,0.1415687371219277,0.10514049118235919,0.07653993954268089
model_a_weather,1,SQ1,17231,0.12316983274400295,0.0909463495889779,0.059318904421179396
model_a_weather,3,SQ2,17467,0.12290220057123005,0.09020786931675585,0.053763659688003174
model_a_weather,1,SQ3,17467,0.12084949796238288,0.08880223129389517,0.04848895563596498
model_a_weather,5,SQ4,17467,0.12131538043837613,0.08928529834292466,0.04498866903388536
model_a_weather,2,SQ567,17467,0.11373217450330088,0.08434150523708225,0.04208500463332128
model_a_weather,2,SQ_Apartment13_24,17443,0.11786456105788454,0.08758196735007284,0.04665137844626495
model_a_weather,5,SQ_Apartment1_12,17444,0.12542145703051405,0.09302158863472396,0.05256862196208835
model_a_weather,3,SQ_Apartment25_36,17442,0.12348958721466263,0.09220056205189786,0.057037969141260005
model_a_weather,2,SQ_Apartment37_48,17341,0.13154360999612952,0.09845060967346549,0.06569874577808606
model_a_weather,1,SQ_Block_P,7922,0.134677472848964,0.09822208679616264,0.060603349327006874
model_a_weather,5,SQ_Block_R,17464,0.12913065629762305,0.09630112963695077,0.05866735535267782
model_a_weather,2,SQ_Block_S,17466,0.1345777111390546,0.09880954923613787,0.06480856642736417
model_a_weather,2,S_H_Ho_Sports_Hall,15743,0.188871972090409,0.1328226168222216,0.11423626425038437
model_a_weather,1,Shaw_Auditorium,6711,0.11141381420956255,0.08218403122343497,0.05742222695450061
model_a_weather,5,UG_Hall2_2F,17467,0.21374167237693809,0.16469451697721746,0.15875448204646536
model_a_weather,2,UG_Hall2_RF,17358,0.15899932386982116,0.11929663951237031,0.10068841714865359
model_a_weather,5,UG_Hall3,17467,0.12801401647442437,0.09448440857440774,0.058099275529385354
model_a_weather,3,UG_Hall4,17468,0.11187963032399781,0.08412017381669933,0.05150988075644771
model_a_weather,5,UG_Hall6,17460,0.12392384887153875,0.09215778236832747,0.05701282997524849
model_a_weather,4,UG_Hall7,17465,0.15419762193756234,0.11508127453628737,0.10076456368367806
model_a_weather,2,UG_Hall8,14689,0.10984261916398937,0.08358994987275037,0.04505369248840582
model_a_weather,1,UG_Hall9,15560,0.11741127963584538,0.08587115385950546,0.03408169611094939
model_a_weather,1,Wong_Check_She_Research_Centre,17456,0.11823167169689311,0.08737443299174928,0.05584348789357737
model_a_weather,3,Zone_A1,17435,0.13886571399246866,0.10264486280509204,0.08270229371549132
model_a_weather,5,Zone_A2,17014,0.17598962352369482,0.1301552798880453,0.11266409758683123
model_a_weather,1,Zone_A4,17459,0.14820773033141676,0.11023859937315042,0.08870023577400005
model_a_weather,4,Zone_A5,17468,0.13161222061723027,0.09860621269007068,0.07004315784220773
model_a_weather,3,Zone_A6,17459,0.11853063806614972,0.08677730478547002,0.048393339782797314
model_a_weather,2,Zone_A7,16124,0.12514789163671855,0.09408197086812649,0.06667806092815051
model_a_weather,4,Zone_D,17439,0.12728463203967064,0.0944352280441166,0.06515950929593554
model_a_weather,4,Zone_J1,16233,0.11155411750332227,0.08284557025935278,0.03862378034449077
model_a_weather,1,Zone_J2,17449,0.1883299662528661,0.1411334453092142,0.13200256204055655
model_a_weather,4,Zone_L2,17300,0.1305304611302863,0.09684491963591808,0.08478388950779443
model_c_weather_time,3,Indoor_Sport_Center,17465,0.1205341051291715,0.08372113679894098,0.024399571993973426
model_c_weather_time,3,LSK_North,17465,0.10564183431358871,0.07479905642105865,0.007667426362241552
model_c_weather_time,4,LSK_South,15101,0.11261001197668694,0.0797250308921931,0.00042645854864177074
model_c_weather_time,4,Library,16495,0.1161668780542442,0.08323831784781899,0.044410112349662904
model_c_weather_time,1,SQ1,17231,0.1043967012902539,0.07312523466643778,0.02657715071036207
model_c_weather_time,3,SQ2,17467,0.10590289802541518,0.0757835816927829,0.021551592709100034
model_c_weather_time,1,SQ3,17467,0.10728643840383768,0.07591049701856258,0.016396871747425202
model_c_weather_time,5,SQ4,17467,0.11384316410643999,0.07993380539094667,0.011546195336613718
model_c_weather_time,2,SQ567,17467,0.10633815988515541,0.07594662977581872,0.01258686701887781
model_c_weather_time,2,SQ_Apartment13_24,17443,0.11044129918320547,0.0800468616362317,0.01711485924866022
model_c_weather_time,5,SQ_Apartment1_12,17444,0.11513312447983391,0.0833780686031765,0.019083878037291942
model_c_weather_time,3,SQ_Apartment25_36,17442,0.1073188173698059,0.0784365913377836,0.024780291513737927
model_c_weather_time,2,SQ_Apartment37_48,17341,0.11011878487373097,0.07984740828397058,0.036003417592226916
model_c_weather_time,1,SQ_Block_P,7922,0.11574222795434248,0.0830831477327186,0.012502003287660483
model_c_weather_time,5,SQ_Block_R,17464,0.11377447899635063,0.08220489168129629,0.025214321394525632
model_c_weather_time,2,SQ_Block_S,17466,0.11197820366334281,0.08060305807347588,0.03530873236729523
